flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,linkedEvents,link,P10OnsetMax,Farside,FarsideManuallyAddedByUs
,,2012-11-08T11:00Z,2012-11-09T04:20Z,2012-11-12T00:00Z,SUB,S11W162,11598,,,2.4,TRUE,FALSE
2013-03-15T06:58:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2013-03-15T06:58Z,2013-03-17T07:00Z,2013-03-17T08:25Z,SPE,N11E12,11692,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,15,FALSE,FALSE
2013-04-11T07:16:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2013-04-11T07:16Z,2013-04-11T16:45Z,2013-04-12T22:10Z,ESPE,N09E12,11719,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,114,FALSE,FALSE
,,2013-04-21T09:55Z,2013-04-21T16:40Z,2013-04-22T16:00Z,SUB,N10W122,11719,,,3.27,TRUE,FALSE
2013-05-15T01:48:00-FLR-001,[{'displayName': 'GOES14: SEM/XRS 1.0-8.0'}],2013-05-15T01:48Z,2013-05-17T17:20Z,2013-05-18T14:45Z,SPE,N12E64,11748,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/595/-1,42,FALSE,FALSE
2013-05-22T13:32:00-FLR-001,[{'displayName': 'GOES14: SEM/XRS 1.0-8.0'}],2013-05-22T13:32Z,2013-05-23T06:50Z,2013-05-25T08:45Z,ESPE,N15W70,11745,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/595/-1,1665,FALSE,FALSE
,,2013-06-21T03:14Z,2013-06-22T17:00Z,2013-06-23T07:45Z,SUB,S16E73,11777,,,7,FALSE,FALSE
,,2013-06-22T12:00Z,2013-06-24T05:20Z,2013-06-24T08:50Z,SPE,S12W140,11768,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/595/-1,14,TRUE,FALSE
,,2013-10-28T02:03Z,2013-10-28T17:45Z,2013-10-28T18:10Z,SUB,N04W66,11875,,,3.63,FALSE,FALSE
,,2013-10-28T15:15Z,2013-10-30T09:25Z,2013-10-31T16:00Z,SUB,S08E26,11882,,,4.84,FALSE,FALSE
,,2013-11-02T04:48Z,2013-11-02T20:00Z,2013-11-03T09:05Z,SUB,N06W135,11875,,,3.38,TRUE,FALSE
,,2013-11-07T00:02Z,2013-11-07T04:35Z,2013-11-07T22:00Z,SUB,S09W102,11882,,,6.65,TRUE,FALSE
,,2013-11-19T10:26Z,2013-11-19T18:25Z,2013-11-20T16:00Z,SUB,N14W70,11893,,,4.03,FALSE,FALSE
2013-12-28T17:36:00-FLR-001,[{'displayName': 'GOES14: SEM/XRS 1.0-8.0'}],2013-12-28T17:36Z,2013-12-28T23:15Z,2013-12-29T06:45Z,SPE,S16W136,11928,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/595/-1,29,TRUE,FALSE
2014-01-06T07:45:00-FLR-001,[{'displayName': 'GOES14: SEM/XRS 1.0-8.0'}],2014-01-06T07:45Z,2014-01-06T16:00Z,2014-01-07T19:30Z,ESPE,S15W108,11936,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/595/-1,42,TRUE,FALSE
2014-01-07T18:32:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2014-01-07T18:32Z,2014-01-09T03:40Z,2014-01-11T20:20Z,ESPE,S15W11,11944,[{'activityID': '2021-07-10T12:00:00-CME-001'}],https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/17262/-1,1026,FALSE,FALSE
